program_label,program,entities,code,number_reported,rent_per_month,hh_income,tpoverty,treatment,year,post,poverty_indicator
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113000401,48113000401,39,297,11131,38,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113000405,48113000405,17,268,10446,40,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113000500,48113000500,25,202,8242,17,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113000601,48113000601,17,336,12377,35,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113000800,48113000800,123,326,11988,27,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113001202,48113001202,18,398,11523,20,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113001302,48113001302,17,208,8280,20,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113001400,48113001400,66,228,8905,29,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113001503,48113001503,24,214,8553,54,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113001504,48113001504,21,222,8656,31,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113001600,48113001600,220,308,12273,40,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113002000,48113002000,48,325,8981,38,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113002100,48113002100,140,190,7588,9,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113002500,48113002500,167,295,11653,25,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113002701,48113002701,88,378,10169,63,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113002702,48113002702,11,506,11533,40,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113003400,48113003400,20,367,11892,51,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113003700,48113003700,38,471,12500,32,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113003800,48113003800,35,444,12370,36,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113003901,48113003901,120,350,10308,37,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113003902,48113003902,22,434,11211,33,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113004000,48113004000,23,492,12682,32,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113004100,48113004100,18,313,11895,58,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113004500,48113004500,16,302,10723,17,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113004900,48113004900,62,502,13470,37,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113005400,48113005400,56,480,14846,43,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113005500,48113005500,15,497,11941,32,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113005600,48113005600,14,477,9079,37,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113005700,48113005700,31,476,14293,35,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113005901,48113005901,46,479,11704,34,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113005902,48113005902,93,442,12693,34,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113006001,48113006001,16,539,15520,47,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113006002,48113006002,266,373,13041,40,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113006100,48113006100,58,287,9670,33,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113006200,48113006200,70,289,9634,29,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113006700,48113006700,31,303,10319,30,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113006900,48113006900,80,357,11686,36,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113007102,48113007102,26,331,12408,20,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113007804,48113007804,33,668,18323,25,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113007809,48113007809,82,313,10814,17,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113007810,48113007810,42,259,8757,9,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113007811,48113007811,179,280,9373,33,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113007815,48113007815,31,375,11651,57,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113007818,48113007818,86,210,7752,35,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113007819,48113007819,29,316,10804,42,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113007820,48113007820,64,333,10721,34,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113007825,48113007825,154,289,10481,24,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113007827,48113007827,37,409,12351,30,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113007913,48113007913,18,384,14181,17,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113008200,48113008200,44,295,12556,16,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113008400,48113008400,14,525,13883,33,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113008500,48113008500,27,459,12281,29,1,2014,0,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113008604,48113008604,117,315,9491,55,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113008701,48113008701,190,304,10668,52,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113008703,48113008703,30,508,13111,32,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113008704,48113008704,150,290,8689,37,1,2014,0,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113008705,48113008705,19,415,15109,8,1,2014,0,0
