code,year,number_reported,tpoverty,poverty_indicator,Total,White_alone,Black_or_African_American_alone,Asian_alone,Some_other_race_alone,Two_or_more_races,Two_races_including_some_other_race,Two_races_excluding_some_other_and_three_plus
48113000401,2013-2017,35.0,35.0,1,5755,3426,805,758,636,119,24,95
48113000401,2018-2022,35.2,32.0,1,4649,2253,1110,465,356,367,322,45
48113000405,2013-2017,17.6,36.8,1,2282,1315,474,279,173,41,0,41
48113000405,2018-2022,18.5,26.5,0,1971,845,864,79,21,162,95,67
48113000500,2013-2017,23.5,20.5,0,5357,3901,475,377,349,235,0,235
48113000601,2013-2017,22.666666666666668,27.0,0,6253,4620,715,272,448,198,40,158
48113000800,2013-2017,136.8,24.8,0,7526,4376,1199,498,1136,317,76,241
48113000900,2013-2017,21.333333333333332,33.666666666666664,1,4654,3663,171,123,656,41,17,24
48113001202,2013-2017,19.5,16.75,0,3795,3090,517,22,125,33,21,12
48113001202,2018-2022,24.5,8.5,0,3744,2449,585,168,282,260,216,44
48113001302,2013-2017,23.4,18.0,0,2141,1450,443,77,119,45,0,45
48113001302,2018-2022,23.6,26.0,0,2790,1723,819,19,97,132,77,55
48113001400,2013-2017,82.2,27.4,0,3940,3113,454,140,150,83,0,83
48113001400,2018-2022,99.8,20.0,0,3161,2025,462,134,96,423,383,40
48113001503,2013-2017,44.8,51.2,1,3684,2329,314,115,877,36,9,27
48113001503,2018-2022,92.8,44.6,1,1545,878,367,110,66,107,63,44
48113001504,2013-2017,29.8,31.6,1,2361,1533,402,158,163,105,0,105
48113001504,2018-2022,52.4,36.4,1,2713,1619,519,250,59,266,203,63
48113001600,2013-2017,221.0,36.6,1,4605,2391,1461,355,102,296,0,296
48113002000,2013-2017,55.4,28.8,0,5917,4268,1119,88,293,134,0,134
48113002100,2013-2017,146.8,12.0,0,1985,1129,602,76,46,132,8,124
48113002100,2018-2022,155.0,16.2,0,2922,1730,499,288,17,331,165,166
48113002200,2013-2017,27.0,30.0,1,2273,1615,349,202,0,96,5,91
48113002200,2018-2022,66.6,23.2,0,2507,1581,551,226,25,124,66,58
48113002400,2018-2022,13.0,20.0,0,2890,1360,181,115,465,769,711,58
48113002500,2013-2017,163.0,30.4,1,5267,3540,1290,43,322,61,11,50
48113002500,2018-2022,160.8,37.4,1,5602,2336,1250,20,1037,959,758,201
48113002701,2013-2017,82.2,61.6,1,3342,832,2492,0,18,0,0,0
48113002702,2013-2017,14.5,38.0,1,1710,335,1323,0,28,24,0,24
48113003101,2013-2017,23.0,8.25,0,3397,2430,544,210,169,41,10,31
48113003400,2013-2017,22.2,40.0,1,1335,342,939,27,23,0,0,0
48113003700,2013-2017,40.8,31.8,1,3208,905,2262,9,0,25,0,25
48113003700,2018-2022,37.0,33.8,1,3295,717,2139,0,303,136,104,32
48113003800,2013-2017,29.8,38.8,1,2251,208,2043,0,0,0,0,0
48113003901,2013-2017,128.8,45.4,1,1787,109,1669,0,0,9,0,9
48113003902,2013-2017,18.4,33.2,1,1567,388,1003,0,141,35,0,35
48113004000,2013-2017,21.6,39.4,1,1138,129,1005,0,0,0,0,0
48113004100,2013-2017,20.5,63.0,1,1249,747,384,0,94,24,0,24
48113004500,2013-2017,25.0,15.8,0,6278,5645,291,0,191,151,87,64
48113004500,2018-2022,20.2,19.0,0,5734,2888,285,21,1475,1058,972,86
48113004600,2013-2017,25.0,11.666666666666666,0,1776,1422,184,8,97,56,17,39
48113004600,2018-2022,32.4,12.8,0,1821,1168,279,40,64,255,189,66
48113004900,2013-2017,53.4,43.6,1,3864,1382,2245,0,204,28,0,28
48113005400,2013-2017,48.4,36.0,1,5965,4214,1570,0,120,56,56,0
48113005400,2018-2022,37.4,16.2,0,5336,2367,1170,99,1201,484,209,275
48113005500,2013-2017,21.0,36.6,1,4727,1908,2663,0,118,38,0,38
48113005500,2018-2022,15.75,32.0,1,4182,1387,1772,0,368,655,655,0
48113005600,2013-2017,15.0,36.0,1,7784,5673,1444,0,463,187,0,187
48113005700,2013-2017,47.8,37.0,1,4657,1737,2659,5,179,70,0,70
48113005700,2018-2022,56.4,38.0,1,5299,1770,2399,25,877,184,184,0
48113005901,2013-2017,42.6,29.4,0,5325,1324,3681,4,308,0,0,0
48113005901,2018-2022,17.6,26.2,0,5291,1220,2581,29,594,860,848,12
48113005902,2013-2017,86.8,37.0,1,4580,1415,2936,0,214,0,0,0
48113005902,2018-2022,43.6,38.2,1,4786,731,3083,0,641,331,252,79
48113006001,2013-2017,15.333333333333334,46.666666666666664,1,4869,3976,592,0,264,0,0,0
48113006001,2018-2022,14.5,32.0,1,3680,2010,252,0,891,527,505,22
48113006002,2013-2017,247.4,39.8,1,5991,1962,3223,389,277,140,51,89
48113006002,2018-2022,197.2,33.8,1,6148,1712,3713,74,99,483,483,0
48113006100,2013-2017,68.8,25.2,0,4142,2256,1668,7,82,114,22,92
48113006100,2018-2022,71.6,27.2,0,4850,2098,1820,0,648,270,255,15
48113006200,2013-2017,89.4,29.6,0,6585,4282,1763,59,271,210,0,210
48113006200,2018-2022,103.2,28.0,0,6315,2393,2132,62,696,1028,873,155
48113006301,2013-2017,58.0,23.0,0,5702,4697,537,21,405,42,35,7
48113006700,2013-2017,21.0,29.0,0,7564,6280,70,10,1004,77,53,24
48113006800,2013-2017,12.0,20.0,0,5755,3999,835,0,758,130,97,33
48113006900,2013-2017,79.2,42.4,1,3962,3254,311,9,283,53,30,23
