GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AHY2E001,AHY2E002,AHY2E003,AHY2E004,AHY2E005,AHY2E006,AHY2E007,AHY2E008,AHY2E009,AHY2E010,NAME_M,AHY2M001,AHY2M002,AHY2M003,AHY2M004,AHY2M005,AHY2M006,AHY2M007,AHY2M008,AHY2M009,AHY2M010
"G4800010950100","2013-2017","TX",,,"Texas","48","Anderson County","001",,,"950100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48001950100",,,"Census Tract 9501, Anderson County, Texas",5067,4507,385,42,23,0,47,63,0,63,"Census Tract 9501, Anderson County, Texas",493,484,167,31,32,19,69,52,19,52
"G4800010950401","2013-2017","TX",,,"Texas","48","Anderson County","001",,,"950401",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48001950401",,,"Census Tract 9504.01, Anderson County, Texas",4975,2895,2001,5,28,0,12,34,0,34,"Census Tract 9504.01, Anderson County, Texas",342,271,228,11,29,13,15,29,13,29
"G4800010950402","2013-2017","TX",,,"Texas","48","Anderson County","001",,,"950402",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48001950402",,,"Census Tract 9504.02, Anderson County, Texas",7368,4160,3141,19,7,8,17,16,0,16,"Census Tract 9504.02, Anderson County, Texas",380,316,286,23,13,16,30,21,19,21
"G4800010950500","2013-2017","TX",,,"Texas","48","Anderson County","001",,,"950500",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48001950500",,,"Census Tract 9505, Anderson County, Texas",4632,3211,937,17,0,0,238,229,131,98,"Census Tract 9505, Anderson County, Texas",463,469,350,18,13,13,209,159,137,77
"G4800010950600","2013-2017","TX",,,"Texas","48","Anderson County","001",,,"950600",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48001950600",,,"Census Tract 9506, Anderson County, Texas",6261,4134,1591,18,0,0,454,64,20,44,"Census Tract 9506, Anderson County, Texas",671,607,427,34,19,19,491,73,38,60
"G4800010950700","2013-2017","TX",,,"Texas","48","Anderson County","001",,,"950700",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48001950700",,,"Census Tract 9507, Anderson County, Texas",2415,1332,664,7,11,0,343,58,2,56,"Census Tract 9507, Anderson County, Texas",380,339,266,10,15,13,225,41,4,39
"G4800010950800","2013-2017","TX",,,"Texas","48","Anderson County","001",,,"950800",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48001950800",,,"Census Tract 9508, Anderson County, Texas",4890,2887,1466,16,152,0,294,75,0,75,"Census Tract 9508, Anderson County, Texas",494,439,538,27,123,13,204,69,13,69
"G4800010950901","2013-2017","TX",,,"Texas","48","Anderson County","001",,,"950901",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48001950901",,,"Census Tract 9509.01, Anderson County, Texas",5979,5081,551,92,11,0,142,102,0,102,"Census Tract 9509.01, Anderson County, Texas",629,570,197,78,20,19,121,65,19,65
"G4800010950902","2013-2017","TX",,,"Texas","48","Anderson County","001",,,"950902",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48001950902",,,"Census Tract 9509.02, Anderson County, Texas",4924,4183,650,3,35,0,11,42,10,32,"Census Tract 9509.02, Anderson County, Texas",777,765,383,5,58,13,21,37,19,32
"G4800010951000","2013-2017","TX",,,"Texas","48","Anderson County","001",,,"951000",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48001951000",,,"Census Tract 9510, Anderson County, Texas",6976,6346,235,53,2,14,242,84,8,76,"Census Tract 9510, Anderson County, Texas",682,619,124,89,4,24,316,79,10,78
"G4800010951100","2013-2017","TX",,,"Texas","48","Anderson County","001",,,"951100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48001951100",,,"Census Tract 9511, Anderson County, Texas",4260,3580,462,0,45,0,10,163,0,163,"Census Tract 9511, Anderson County, Texas",627,510,220,13,52,13,16,170,13,170
"G4800030950100","2013-2017","TX",,,"Texas","48","Andrews County","003",,,"950100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48003950100",,,"Census Tract 9501, Andrews County, Texas",2374,2253,6,16,37,0,48,14,6,8,"Census Tract 9501, Andrews County, Texas",235,243,9,29,63,13,57,18,12,13
"G4800030950200","2013-2017","TX",,,"Texas","48","Andrews County","003",,,"950200",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48003950200",,,"Census Tract 9502, Andrews County, Texas",7191,6457,241,0,0,9,452,32,0,32,"Census Tract 9502, Andrews County, Texas",485,560,235,19,19,19,247,49,19,49
