GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AQNGE001,AQNGE002,AQNGE003,AQNGE004,AQNGE005,AQNGE006,AQNGE007,AQNGE008,AQNGE009,AQNGE010,NAME_M,AQNGM001,AQNGM002,AQNGM003,AQNGM004,AQNGM005,AQNGM006,AQNGM007,AQNGM008,AQNGM009,AQNGM010
"G4800010950100","2018-2022","TX",,,"Texas","48","Anderson County","001",,,"950100",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48001950100",,,"48001950100","Census Tract 9501, Anderson County, Texas",5268,4214,213,1,30,0,69,741,585,156,"Census Tract 9501, Anderson County, Texas",742,693,110,3,33,21,100,339,327,123
"G4800010950401","2018-2022","TX",,,"Texas","48","Anderson County","001",,,"950401",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48001950401",,,"48001950401","Census Tract 9504.01, Anderson County, Texas",4763,1551,1590,28,6,0,612,976,796,180,"Census Tract 9504.01, Anderson County, Texas",108,288,409,47,12,15,634,391,398,170
"G4800010950402","2018-2022","TX",,,"Texas","48","Anderson County","001",,,"950402",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48001950402",,,"48001950402","Census Tract 9504.02, Anderson County, Texas",6540,2847,2425,22,7,0,182,1057,906,151,"Census Tract 9504.02, Anderson County, Texas",110,346,278,31,16,21,120,316,288,78
"G4800010950500","2018-2022","TX",,,"Texas","48","Anderson County","001",,,"950500",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48001950500",,,"48001950500","Census Tract 9505, Anderson County, Texas",4323,2549,801,39,0,33,230,671,525,146,"Census Tract 9505, Anderson County, Texas",638,477,322,70,15,52,195,380,367,107
"G4800010950600","2018-2022","TX",,,"Texas","48","Anderson County","001",,,"950600",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48001950600",,,"48001950600","Census Tract 9506, Anderson County, Texas",5448,3712,711,0,0,0,132,893,845,48,"Census Tract 9506, Anderson County, Texas",784,698,510,21,21,21,221,506,526,78
"G4800010950700","2018-2022","TX",,,"Texas","48","Anderson County","001",,,"950700",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48001950700",,,"48001950700","Census Tract 9507, Anderson County, Texas",2655,976,1383,27,0,0,34,235,79,156,"Census Tract 9507, Anderson County, Texas",494,192,421,26,15,15,35,170,67,150
"G4800010950800","2018-2022","TX",,,"Texas","48","Anderson County","001",,,"950800",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48001950800",,,"48001950800","Census Tract 9508, Anderson County, Texas",6394,3317,2285,17,40,0,120,615,385,230,"Census Tract 9508, Anderson County, Texas",664,585,555,32,40,21,114,329,285,199
"G4800010950901","2018-2022","TX",,,"Texas","48","Anderson County","001",,,"950901",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48001950901",,,"48001950901","Census Tract 9509.01, Anderson County, Texas",5140,3829,475,0,234,0,163,439,148,291,"Census Tract 9509.01, Anderson County, Texas",606,653,176,21,153,21,151,215,111,220
"G4800010950902","2018-2022","TX",,,"Texas","48","Anderson County","001",,,"950902",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48001950902",,,"48001950902","Census Tract 9509.02, Anderson County, Texas",4667,3426,431,276,12,0,73,449,267,182,"Census Tract 9509.02, Anderson County, Texas",679,555,299,286,19,15,102,280,224,174
"G4800010951001","2018-2022","TX",,,"Texas","48","Anderson County","001",,,"951001",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48001951001",,,"48001951001","Census Tract 9510.01, Anderson County, Texas",4527,3541,409,20,27,0,85,445,207,238,"Census Tract 9510.01, Anderson County, Texas",712,535,295,34,34,15,121,219,174,196
